filename,width,height,class,xmin,ymin,xmax,ymax
image (4).jpeg,159,159,pen,16,1,140,157
images (43).jpeg,100,100,pen,11,1,94,99
image-205.jpeg,301,167,pen,53,40,118,86
image (6).jpeg,225,225,pen,52,9,185,212
image-237.jpeg,263,191,pen,203,108,224,160
image (14).jpeg,274,184,pen,10,39,201,140
images (64).jpeg,196,196,pen,1,3,196,196
images (8).jpeg,225,225,pen,13,102,220,167
image-253.jpeg,225,225,pen,34,1,72,111
image-203.jpeg,259,194,pen,82,1,151,127
image-231.jpeg,275,183,pen,18,9,148,157
images (34).jpeg,225,225,pen,18,127,206,144
image (16).jpeg,343,147,pen,49,3,303,141
image-257.jpeg,225,225,pen,152,41,208,68
image-208.jpeg,275,183,pen,16,18,115,116
images (67).jpeg,273,185,pen,14,59,265,171
image-204.jpeg,300,168,pen,86,1,195,120
images (39).jpeg,248,203,pen,225,10,242,191
images (39).jpeg,248,203,pen,208,10,224,188
images (39).jpeg,248,203,pen,196,11,206,191
images (39).jpeg,248,203,pen,181,11,193,190
images (39).jpeg,248,203,pen,167,10,176,189
images (39).jpeg,248,203,pen,152,12,161,190
images (39).jpeg,248,203,pen,136,9,147,191
images (39).jpeg,248,203,pen,121,12,133,190
images (39).jpeg,248,203,pen,105,10,113,190
images (39).jpeg,248,203,pen,91,13,100,187
images (39).jpeg,248,203,pen,76,12,79,191
images (39).jpeg,248,203,pen,62,13,67,189
images (39).jpeg,248,203,pen,45,12,53,191
images (39).jpeg,248,203,pen,27,12,40,190
images (39).jpeg,248,203,pen,13,12,24,190
images (4).jpeg,225,225,pen,44,190,191,213
images (4).jpeg,225,225,pen,44,170,188,191
images (4).jpeg,225,225,pen,37,155,178,175
images (4).jpeg,225,225,pen,46,141,175,160
images (4).jpeg,225,225,pen,28,124,156,146
images (4).jpeg,225,225,pen,33,116,168,129
images (4).jpeg,225,225,pen,45,97,193,114
images (4).jpeg,225,225,pen,40,76,185,100
images (4).jpeg,225,225,pen,44,64,176,79
images (4).jpeg,225,225,pen,41,49,179,62
images (4).jpeg,225,225,pen,42,31,191,45
images (4).jpeg,225,225,pen,35,10,187,32
image-215.jpeg,299,169,pen,189,104,267,135
images (65).jpeg,259,194,pen,179,84,253,140
images (75).jpeg,225,225,pen,97,1,127,223
images (30).jpeg,300,168,pen,109,73,293,129
images (30).jpeg,300,168,pen,79,63,259,114
images (30).jpeg,300,168,pen,50,49,229,99
images (30).jpeg,300,168,pen,17,36,198,88
image-244.jpeg,308,163,pen,122,80,189,100
image-244.jpeg,308,163,pen,181,6,251,50
image-244.jpeg,308,163,pen,201,33,284,47
image (1).jpeg,156,159,pen,64,1,96,158
images (71).jpeg,100,100,pen,2,22,100,90
images (71).jpeg,100,100,pen,1,11,100,71
image-220.jpeg,275,183,pen,82,95,211,142
image-202.jpeg,276,183,pen,99,1,119,66
image (2).jpeg,159,159,pen,6,1,151,156
image-232.jpeg,294,171,pen,156,43,198,57
image-210.jpeg,289,174,pen,209,36,289,93
image-210.jpeg,289,174,pen,191,4,289,68
image-210.jpeg,289,174,pen,225,18,289,68
image-247.jpeg,299,168,pen,47,45,93,84
image-247.jpeg,299,168,pen,134,33,172,65
image (10).jpeg,225,225,pen,1,82,222,150
image-213.jpeg,225,225,pen,85,30,183,167
image (7).jpeg,246,205,pen,20,1,233,204
image-201.jpeg,300,168,pen,76,1,141,97
image-230.jpeg,318,159,pen,200,4,233,46
images (54).jpeg,225,225,pen,94,4,136,225
images (31).jpeg,225,225,pen,59,17,166,208
image-216.jpeg,352,143,pen,108,1,240,78
image-243.jpeg,310,163,pen,38,1,139,114
image-229.jpeg,259,194,pen,159,78,254,127
image-227.jpeg,269,187,pen,178,73,254,88
image-238.jpeg,200,251,pen,99,116,115,191
images (11).jpeg,194,259,pen,83,30,113,227
image (3).jpeg,19,177,pen,1,1,18,174
images (29).jpeg,225,225,pen,13,79,212,149
image-212.jpeg,315,160,pen,157,80,245,92
images (60).jpeg,196,196,pen,2,13,196,32
images (60).jpeg,196,196,pen,3,43,194,64
